Name,Popularity,Followers,Genres,Average_top_song_length_in_min,Spotify_ID,Spotify_URL
Angerfist,60,551852,"['hardcore', 'frenchcore', 'hardstyle', 'gabber', 'hardcore techno', 'speedcore', 'tekno']",3.29,4sQNUQjOYj9rV2sdfJ8laS,https://open.spotify.com/artist/4sQNUQjOYj9rV2sdfJ8laS
Ariana Grande,94,106864696,['pop'],3.5,66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
Alex Warren,89,2638197,[],3.12,0fTSzq9jAh4c36UVb4V7CB,https://open.spotify.com/artist/0fTSzq9jAh4c36UVb4V7CB
AURORA,76,4635184,"['norwegian pop', 'art pop']",3.5,1WgXqy2Dd70QQOU7Ay074N,https://open.spotify.com/artist/1WgXqy2Dd70QQOU7Ay074N
Adele,87,66072792,['soft pop'],4.27,4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
Antoon,60,223147,"['nederpop', 'hollands']",2.52,5sBoNBXFMzoZjgHLbQueeG,https://open.spotify.com/artist/5sBoNBXFMzoZjgHLbQueeG
Ashafar,60,226013,[],2.89,438nTuoZFCZCyBl33jE9dU,https://open.spotify.com/artist/438nTuoZFCZCyBl33jE9dU
Arctic Monkeys,88,31685581,"['indie', 'garage rock']",3.6,7Ln80lUS6He07XvHI8qqHH,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Addison Rae,78,1264663,[],3.17,4gvjmrtzydbMpyJaXUtwvP,https://open.spotify.com/artist/4gvjmrtzydbMpyJaXUtwvP
Acda en de Munnik,57,164341,"['nederpop', 'hollands']",3.51,040Fqhc0l7a4MPeDx6cneh,https://open.spotify.com/artist/040Fqhc0l7a4MPeDx6cneh
A$AP Rocky,86,17173521,['rap'],3.54,13ubrt8QOOCPljQ2FL1Kca,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca
Andre Hazes,64,882552,"['hollands', 'nederpop']",3.55,04MtOUkmIDC4LAxDDBjrOY,https://open.spotify.com/artist/04MtOUkmIDC4LAxDDBjrOY
Anouk,56,387399,['nederpop'],3.9,6ltVunYjAAD70YtVO6rxvX,https://open.spotify.com/artist/6ltVunYjAAD70YtVO6rxvX
AC/DC,84,32033918,"['rock', 'hard rock', 'classic rock', 'rock and roll']",4.34,711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un
Armin van Buuren,77,4524396,"['trance', 'progressive trance', 'progressive house', 'electronica', 'edm']",3.16,0SfsnGyD8FpIN4U4WCkBZ5,https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5
Amy Winehouse,79,9706520,[],3.32,6Q192DXotxtaysaqNPy5yR,https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR
ADF Samski,58,67314,[],2.92,5qeFPM2PZUCzcpkY4e4RC8,https://open.spotify.com/artist/5qeFPM2PZUCzcpkY4e4RC8
ABBA,83,14722065,[],4.22,0LcJLqbBmaGUft1e9Mm8HV,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV
Avicii,83,23436726,['edm'],3.32,1vCWHaC5f2uS3yhpwWbIA6,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6
Alles Kids,58,15688,"[""children's music""]",1.41,07DX1ovPdfcA492wXjR5yd,https://open.spotify.com/artist/07DX1ovPdfcA492wXjR5yd
Johann Sebastian Bach,79,4782683,"['classical', 'classical piano']",3.1,5aIqB5nVVvmFsvSdExz408,https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408
Andrew Choi,88,129360,['k-pop'],2.92,7JBaynR7JFeniONqbnn1U4,https://open.spotify.com/artist/7JBaynR7JFeniONqbnn1U4
André Hazes Jr.,57,305041,"['hollands', 'nederpop']",3.32,5l2Xy4aUoJDRSpsYHyOumD,https://open.spotify.com/artist/5l2Xy4aUoJDRSpsYHyOumD
AUDREY NUNA,92,450924,[],3.37,0Wwji82sLA0Hcvtuak3omb,https://open.spotify.com/artist/0Wwji82sLA0Hcvtuak3omb
Ed Sheeran,93,122179560,['soft pop'],3.75,6eUKZXaKkcviH0Ku9w2n3V,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
Bob Vylan,54,175940,[],2.73,6XgIk9Y6qy6JCMZVime6DQ,https://open.spotify.com/artist/6XgIk9Y6qy6JCMZVime6DQ
Bente,62,37710,"['nederpop', 'hollands']",3.37,4U9nsRTH2mr9L4UXEWqG5e,https://open.spotify.com/artist/4U9nsRTH2mr9L4UXEWqG5e
Bad Bunny,99,100872156,"['reggaeton', 'trap latino', 'urbano latino', 'latin']",3.84,4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X
Beéle,92,2879357,"['latin afrobeats', 'reggaeton', 'pop urbano']",2.92,7a0XAaPaK2aDSqa8p3QnC7,https://open.spotify.com/artist/7a0XAaPaK2aDSqa8p3QnC7
Brent Faiyaz,84,7806670,['r&b'],3.59,3tlXnStJ1fFhdScmQeLpuG,https://open.spotify.com/artist/3tlXnStJ1fFhdScmQeLpuG
Billie Eilish,94,117357047,[],3.86,6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Broederliefde,66,569446,[],3.45,5GvMLzUp6tMBpaCbr903RN,https://open.spotify.com/artist/5GvMLzUp6tMBpaCbr903RN
Beyoncé,88,41000791,[],3.96,6vWDO969PvNqNYHIOW5v0m,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m
BLACKPINK,86,55626060,['k-pop'],3.27,41MozSoPIsD1dJM0CLPjZF,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF
Bankzitters,63,295072,[],2.29,1g9nyCbUH0kbNgXAsw7tUB,https://open.spotify.com/artist/1g9nyCbUH0kbNgXAsw7tUB
Bilal Wahib,60,78928,[],2.43,5wV3FoaNbDB6X9INuQvs1K,https://open.spotify.com/artist/5wV3FoaNbDB6X9INuQvs1K
Boef,65,1425652,[],3.2,0Jsk5iYMr5aNjHury7blm1,https://open.spotify.com/artist/0Jsk5iYMr5aNjHury7blm1
Beste Zangers,64,25060,"['hollands', 'nederpop']",3.26,5tOJq6eS9TQEya6rxFvfEa,https://open.spotify.com/artist/5tOJq6eS9TQEya6rxFvfEa
Burna Boy,84,13703140,"['afrobeats', 'afrobeat', 'afropop', 'afroswing', 'dancehall', 'afropiano']",3.12,3wcj11K77LjEY1PkEazffa,https://open.spotify.com/artist/3wcj11K77LjEY1PkEazffa
BLOK3,81,4679867,"['turkish hip hop', 'turkish pop']",2.85,1GMwSpFzrLd12jUX15bHB6,https://open.spotify.com/artist/1GMwSpFzrLd12jUX15bHB6
Bob Marley & The Wailers,83,13310665,"['reggae', 'roots reggae']",3.68,2QsynagSdAqZj3U9HgDzjD,https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD
Bruno Mars,93,74748443,[],3.71,0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
Benson Boone,88,6826305,[],3.14,22wbnEMDvgVIAGdFeek6ET,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET
BLØF,63,404510,"['nederpop', 'hollands']",4.04,0KQX2wRHV2VLjuscfJFNxB,https://open.spotify.com/artist/0KQX2wRHV2VLjuscfJFNxB
Bizzey,62,388156,['moombahton'],2.77,5GIcOzVFTNnzArytjmTkW8,https://open.spotify.com/artist/5GIcOzVFTNnzArytjmTkW8
Black Sabbath,80,9649639,"['metal', 'heavy metal', 'rock', 'stoner rock', 'doom metal', 'hard rock']",5.5,5M52tdBnJaKSvOpJGz8mfZ,https://open.spotify.com/artist/5M52tdBnJaKSvOpJGz8mfZ
The Beatles,87,30545585,"['classic rock', 'psychedelic rock']",3.36,3WrFJ7ztbogyGnTHbHJFl2,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2
Chris Brown,91,27896107,['r&b'],3.86,7bXgB6jMjp9ATFy66eO08Z,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z
Justin Bieber,96,84488396,[],3.28,1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s
Chris Stussy,63,168800,"['house', 'tech house']",4.77,3BxjasMelf9pKaE4f7Y0So,https://open.spotify.com/artist/3BxjasMelf9pKaE4f7Y0So
CHO,60,101911,[],3.25,0YPIovtLh5msFPFuCcn30R,https://open.spotify.com/artist/0YPIovtLh5msFPFuCcn30R
CC,45,2281,[],2.33,0zD2BPEqmxke9Dd0GtgthT,https://open.spotify.com/artist/0zD2BPEqmxke9Dd0GtgthT
Cardi B,84,25822519,[],3.39,4kYSro6naA4h99UJvo89HB,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB
Counting Crows,72,1944995,[],4.26,0vEsuISMWAKNctLlUAhSZC,https://open.spotify.com/artist/0vEsuISMWAKNctLlUAhSZC
Ceder,39,3215,[],2.55,4m9BUPqIW7bFZqYVh9rcDd,https://open.spotify.com/artist/4m9BUPqIW7bFZqYVh9rcDd
Cor,55,42016,[],2.84,66wqVYADY665LeMxs8nlk3,https://open.spotify.com/artist/66wqVYADY665LeMxs8nlk3
Chef'Special,55,187087,['folk pop'],3.24,7IiSLreTg1of8dDwxwiPw3,https://open.spotify.com/artist/7IiSLreTg1of8dDwxwiPw3
Cigarettes After Sex,87,17042567,['dream pop'],4.57,1QAJqy2dA3ihHBFIHRphZj,https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj
Charli xcx,86,6139640,"['hyperpop', 'art pop']",3.29,25uiPmTg16RbhZWAqwLBy5,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5
Central Cee,84,9455961,"['uk drill', 'drill', 'uk grime', 'grime']",2.71,5H4yInM5zmHqpKIoMNAx4r,https://open.spotify.com/artist/5H4yInM5zmHqpKIoMNAx4r
Coldplay,92,60273263,[],4.51,4gzpq5DPGxSnKTe4SA8HAU,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU
Chappell Roan,87,7070048,[],3.62,7GlBOeep6PqTfFi59PTUUN,https://open.spotify.com/artist/7GlBOeep6PqTfFi59PTUUN
Céline Dion,79,10212942,['variété française'],4.8,4S9EykWXhStSc15wEx8QFK,https://open.spotify.com/artist/4S9EykWXhStSc15wEx8QFK
Clementine Douglas,76,57797,[],3.52,4DWuml4Jf6K81b5rAPwMb6,https://open.spotify.com/artist/4DWuml4Jf6K81b5rAPwMb6
